MANAGEMENT POLICY: Best	POOL SIZE 1024 KB
Failed Req 217 is size 128224
Failed Req 302 is size 118560
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 592 is size 58208
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 492

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
259	alloc	63136		YES	552736		5		482784

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
260	free	236		YES	663680		5		482784
261	free	235		YES	729504		5		482784
262	alloc	47328		YES	682176		5		482784
263	free	238		YES	718368		5		482784
264	free	239		YES	776704		5		541120
265	alloc	52256		YES	724448		5		541120
266	alloc	118048		YES	606400		5		423072
267	alloc	98656		YES	507744		5		423072
268	alloc	11552		YES	496192		5		423072
269	alloc	125344		YES	370848		5		297728
270	free	257		YES	388160		5		315040
271	alloc	116064		YES	272096		5		198976
272	alloc	69664		YES	202432		5		129312
273	free	271		YES	318496		6		129312
274	free	254		YES	366912		7		129312
275	alloc	114976		YES	251936		7		129312
276	alloc	44064		YES	207872		7		129312
277	free	253		YES	216224		6		129312
278	alloc	39520		YES	176704		6		129312
279	alloc	106784		YES	69920		6		22528

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
280	free	262		YES	117248		5		86112
281	free	252		YES	204576		5		90496
282	free	259		YES	267712		6		90496
283	alloc	24096		YES	243616		6		90496
284	alloc	71968		YES	171648		6		90496
285	free	276		YES	215712		5		138912
286	alloc	58976		YES	156736		5		79936
287	free	272		YES	226400		5		79936
288	free	267		YES	325056		5		137696
289	free	269		YES	450400		6		137696
290	free	279		YES	557184		5		200064
291	free	265		YES	609440		5		252320
292	alloc	111008		YES	498432		5		252320
293	free	268		YES	509984		5		252320
294	alloc	42336		YES	467648		5		252320
295	alloc	121184		YES	346464		5		252320
296	free	266		YES	464512		5		252320
297	alloc	26848		YES	437664		5		252320
298	alloc	77216		YES	360448		5		252320
299	alloc	103776		YES	256672		5		148544

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
300	alloc	120480		YES	136192		5		78432
301	free	284		YES	208160		5		86112
302	alloc	118560		NO	208160		5		86112
303	alloc	42080		YES	166080		5		86112
304	free	275		YES	281056		5		129312
305	free	278		YES	320576		4		153696
306	free	294		YES	362912		5		153696
307	alloc	72992		YES	289920		5		153696
308	free	302		NO	289920		5		153696
309	alloc	44512		YES	245408		5		153696
310	free	300		YES	365888		5		274176
311	alloc	32224		YES	333664		5		274176
312	alloc	87648		YES	246016		5		186528
313	free	283		YES	270112		6		186528
314	alloc	32352		YES	237760		6		186528
315	free	286		YES	296736		6		186528
316	free	297		YES	323584		6		186528
317	free	292		YES	434592		6		186528
318	alloc	63584		YES	371008		6		186528
319	free	303		YES	413088		7		186528

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
320	alloc	30624		YES	382464		7		186528
321	alloc	18336		YES	364128		7		186528
322	free	295		YES	485312		7		186528
323	free	309		YES	529824		7		186528
324	alloc	224		YES	529600		7		186528
325	free	299		YES	633376		7		186528
326	alloc	113760		YES	519616		7		186528
327	free	298		YES	596832		7		186528
328	alloc	12960		YES	583872		7		186528
329	alloc	46688		YES	537184		7		186528
330	alloc	44128		YES	493056		7		186528
331	alloc	86176		YES	406880		7		186528
332	alloc	109792		YES	297088		7		186528
333	free	314		YES	329440		7		186528
334	alloc	74784		YES	254656		7		111744
335	free	307		YES	327648		7		111744
336	alloc	1376		YES	326272		7		111744
337	free	326		YES	440032		7		188128
338	free	320		YES	470656		7		188128
339	free	311		YES	502880		6		230432

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
340	free	312		YES	590528		6		230432
341	alloc	50848		YES	539680		6		230432
342	alloc	80800		YES	458880		6		230432
343	free	318		YES	522464		6		230432
344	free	328		YES	535424		6		230432
345	alloc	117088		YES	418336		6		230432
346	alloc	112864		YES	305472		6		117568
347	alloc	3616		YES	301856		6		117568
348	free	324		YES	302080		6		117568
349	alloc	56224		YES	245856		6		117568
350	alloc	128160		NO	245856		6		117568
351	free	321		YES	264192		5		117568
352	alloc	85472		YES	178720		5		117568
353	free	330		YES	222848		6		117568
